issue,title,opened,age_years,labels,platform,subsystem,kind,priority_class,severity,validity_confidence,reproducibility,head_status,related,source_areas,root_cause_assessment,audit_depth
4959,Dynamically updating data from the Layer section,2025-12-10,0.7,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4886,Add direct download page for RTOFS grip files in grip-Plugin,2025-11-08,0.8,enhancement,not established/cross-platform,plugins,feature/enhancement,H,feature request,medium,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4881,Add option to choose between arrival circle and normal crossing to validate waypoint in autopilot,2025-11-05,0.8,,not established/cross-platform,routes/tracks/storage,documentation/support,I,documentation/support,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4880,AIS Target Alert Message - Remind user in Target Alert Message of Timeout setting,2025-11-05,0.8,enhancement,not established/cross-platform,AIS,feature/enhancement,H,feature request,medium,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4879,"AIS Settings - Reword ""Enable Target Alert Timeout Setting"" for clarity and better understanding.",2025-11-05,0.8,enhancement,not established/cross-platform,AIS,feature/enhancement,H,feature request,medium,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4872,Suggestion for improving Vessels re-triggering AIS-Alarm,2025-11-02,0.8,enhancement,not established/cross-platform,AIS,feature/enhancement,H,feature request,medium,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4870,OpenCPN 5.13 segfaults in ChartGroupsUI::OnGroupPageChange (options.cpp:9125),2025-11-01,0.8,bug,macOS,charts/rendering,defect,B,crash/hang/data integrity,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4865,OCPN 5.13 crashes in cm93chart::CreateObjChain() when displaying CM93 charts,2025-10-29,0.8,bug,macOS,charts/CM93,defect,B,crash/hang/data integrity,low,unconfirmed,open on upstream master,,gui/src/cm93.cpp,Crash report lacks a minimized chart/input and code-level cause.,manual issue review
4843,Ghost navobj,2025-10-16,0.8,bug|deferred,macOS,routes/plugins/storage,defect,C,serious functional defect,medium,platform-specific recipe,open on upstream master,,gui/src/api_121.cpp; model/src/navobj_db.cpp,Plug-in update path duplicates delete/re-add/index/persistence operations; a stale-instance or ordering defect is plausible but unproven.,thread and code reviewed
4842,OpenCPN 5.13 seg faults in glTexFactory::GetpTD(wxRect&) while displaying pilot charts on macos,2025-10-15,0.8,bug,macOS,charts/rendering,defect,B,crash/hang/data integrity,medium,intermittent macOS,possibly affected by #4914; needs closure verification,#4983; #3851; PR #4914,gui/src/gl_texture_mgr.cpp; gui/src/gl_tex_cache.cpp,"Texture lifetime issue; later shared-ownership work may have fixed it, but no regression proof is attached.",thread and code reviewed
4804,"Visualization issues, broken geometry in S-57",2025-09-27,0.9,bug,not established/cross-platform,charts/rendering,defect,C,serious functional defect,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4802,Add Popup Info Panel for Weather Data Display,2025-09-25,0.9,enhancement,not established/cross-platform,charts/rendering,feature/enhancement,H,feature request,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4801,Audio device checkbox without functionality,2025-09-25,0.9,enhancement,Windows,platform/build,feature/enhancement,H,feature request,medium,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4798,AIS Target List on Android,2025-09-25,0.9,enhancement,Android|Windows|Linux,AIS,feature/enhancement,H,feature request,low,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4794,Let users decide how they want mbTiles handled (on/off) on startup,2025-09-24,0.9,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4790,"Consistently use FormatDistanceAdaptive() to pair Nautical Miles with ""feet""",2025-09-22,0.9,enhancement,not established/cross-platform,UI/general,feature/enhancement,H,feature request,medium,not established,not code-verified,,gui/src (issue-specific),Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4789,Route> Properties > Speed units not shown.,2025-09-22,0.9,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,low,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4786,WP-Rings more distance options (for anchorages/harbors),2025-09-22,0.9,enhancement,not established/cross-platform,UI/general,feature/enhancement,H,feature request,medium,not established,not code-verified,,gui/src (issue-specific),Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4780,Downloading and ingesting new charts halted the TCP NMEA0183 network connection,2025-09-20,0.9,bug,Windows,communications/charts,defect,C,serious functional defect,medium,reported deterministic,open on upstream master,,gui/src/chartdldr; model/src/comm_drv_n0183_net.cpp,Likely GUI/main-loop starvation during chart download; needs a trace before extraction.,manual issue review
4772,Improve Distance Units System for Better Clarity and Functionality,2025-09-15,0.9,enhancement,not established/cross-platform,charts/rendering,feature/enhancement,H,feature request,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4771,Grib_pi: File correction,2025-09-15,0.9,,not established/cross-platform,plugins,needs triage,F,usability/UI,low,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4769,Bad draw of line objects and area objects' boundary,2025-09-15,0.9,bug,Windows,charts/rendering,defect,C,serious functional defect,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4753,Include git commit hash in version information for builds in local workspace,2025-09-08,0.9,enhancement,Windows|Linux,platform/build,feature/enhancement,H,feature request,medium,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4745,Tide and Current Panels - Format Issues,2025-09-06,0.9,bug,Windows,tides/UI,defect,F,usability/UI,high,reported deterministic,crash portion fixed; formatting remains,,gui/src/tc_win.cpp,"Current open scope is panel formatting, not the already-fixed crash mentioned in the body.",manual issue review
4742,Display ENC Depth (Sounding) at Cursor and at Own Ship Position / ADD Isobath depth labels to chart,2025-09-05,1.0,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4737,Improve time control actions in tide panel,2025-09-03,1.0,enhancement,Windows,plugins,feature/enhancement,H,feature request,medium,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4735,Wrong units in Tide window and for Tide icon,2025-09-02,1.0,bug,not established/cross-platform,tides/currents,defect,C,serious functional defect,medium,not established,not code-verified,,gui/src/tcmgr.cpp; gui/src/tcwin.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4733,grib_pi - Android sandbox makes loading grib files painful,2025-08-31,1.0,bug,Android,charts/rendering,defect,C,serious functional defect,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4732,Improve handling of NMEA0183 checksum,2025-08-31,1.0,enhancement,not established/cross-platform,communications/navigation,feature/enhancement,H,feature request,medium,not established,not code-verified,,model/src/comm_*; model/src/georef.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4723,API: layer order,2025-08-23,1.0,enhancement,not established/cross-platform,plugins,feature/enhancement,H,feature request,medium,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4710,"High DPI, High Res Screens Fix",2025-08-14,1.0,enhancement,Windows,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4702,High-DPI issues on Wayland,2025-08-10,1.0,bug,Windows|Linux|Wayland,charts/rendering,defect,C,serious functional defect,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4698,Dashboard: Current?,2025-08-08,1.0,enhancement,not established/cross-platform,charts/rendering,feature/enhancement,H,feature request,low,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4686,Crash when sending autopilot sentences out via Actisense NGT-1,2025-07-31,1.0,bug,macOS,communications/N2K,defect,A,safety/correctness critical,medium,hardware-dependent,open on upstream master,#4554; #3316; #5311,model/src/autopilot_output.cpp; model/src/comm_drv_n2k_serial.cpp,N2K output/serial cluster; exact crash cause not proven.,thread and code reviewed
4684,OpenCPN uninstall doesn't remove directory on Windows,2025-07-31,1.0,bug,Windows,platform/build,defect,C,serious functional defect,medium,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4670,Teleported positions,2025-07-25,1.1,bug,macOS,AIS/ownship,defect/robustness,A,safety/correctness critical,high,deterministic with device input,open on upstream master,,model/src/comm_bridge.cpp; model/src/ais_decoder.cpp,External device emits another target as AIVDO; core accepts it as ownship without an MMSI/configuration consistency policy.,thread and code reviewed
4669,"""show visible sector lights"" missing from 'View' menu",2025-07-25,1.1,,not established/cross-platform,AIS,defect,C,serious functional defect,medium,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4657,Update libssl-3.dll and libcrypto-3.dll to 3.0.17,2025-07-21,1.1,,not established/cross-platform,UI/general,needs triage,F,usability/UI,medium,not established,not code-verified,,gui/src (issue-specific),Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4651,Give an information if a GPS source switching has taken place on the signalk side.,2025-07-11,1.1,enhancement,not established/cross-platform,AIS,feature/enhancement,H,feature request,medium,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4642,Unable to start 5.11 beta versions,2025-07-03,1.1,bug|macOS,macOS,startup/build,defect,J,likely resolved/stale/duplicate,low,old 5.11 beta,likely stale; revalidate current release,,startup/build packaging,Unable-to-start report targets obsolete beta builds and needs a current reproduction.,manual issue review
4624,Safe mode dialog: ugly buttons,2025-06-23,1.2,bug,Linux,UI/general,defect,C,serious functional defect,low,not established,not code-verified,,gui/src (issue-specific),Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4617,Extra dashboard 'instrument' Speed and course history,2025-06-21,1.2,enhancement,not established/cross-platform,UI/general,feature/enhancement,H,feature request,medium,not established,not code-verified,,gui/src (issue-specific),Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4614,[OSX 15.5] Send to peer instance not discoverable - mdns issue,2025-06-20,1.2,bug|info needed,Android,routes/tracks/storage,defect,C,serious functional defect,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4611,Android - Add GPX file handler,2025-06-19,1.2,enhancement,Android,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4607,libs/gui/dialog_base: Minimum size potentially larger than screen,2025-06-18,1.2,bug,not established/cross-platform,UI/general,defect,C,serious functional defect,low,not established,not code-verified,,gui/src (issue-specific),Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4595,Toggle any chart folder on or off in the Options/Charts menu,2025-06-15,1.2,enhancement,not established/cross-platform,charts/rendering,feature/enhancement,H,feature request,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4585,libs/gui/src/dialog*.cpp: Illegal use of FindWindowById,2025-06-09,1.2,bug,not established/cross-platform,UI/general,defect,C,serious functional defect,low,not established,not code-verified,,gui/src (issue-specific),Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4577,Dashboard: Add dampening factor for True Wind Direction?,2025-06-06,1.2,enhancement,not established/cross-platform,UI/general,feature/enhancement,H,feature request,medium,not established,not code-verified,,gui/src (issue-specific),Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4561,ENC OpenGL Dam disapears when zooming in.,2025-05-30,1.2,bug,not established/cross-platform,charts/rendering,defect,C,serious functional defect,low,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4560,"Quilt yes/no by chart groups, and remembered that way",2025-05-30,1.2,enhancement,not established/cross-platform,charts/rendering,feature/enhancement,H,feature request,low,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4559,ECN chart text display squeezed,2025-05-29,1.2,bug|info needed,Windows,charts/rendering,defect,C,serious functional defect,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4554,Occasional crash around N2K driver when quitting OCPN,2025-05-27,1.2,bug,macOS,communications/N2K,defect,B,crash/hang/data integrity,high,intermittent hardware-dependent,open on upstream master,#3316; #4686,model/src/comm_drv_n2k_serial.cpp; model/src/comm_drv_registry.cpp,"Serial-driver fault and shutdown crash are reported. Plain cross-thread flags, raw parent/thread pointers and non-joining Close are concrete hazards; causal interleaving remains unproven.",thread and code reviewed
4543,Generate an OpenCPN Message upon routepoint creation,2025-05-19,1.2,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4532,Possibility to lock AIS target list,2025-05-07,1.3,enhancement,not established/cross-platform,AIS,feature/enhancement,H,feature request,medium,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4531,Flatpak Install Errors aarch64,2025-05-07,1.3,User manual,Flatpak,platform/build,documentation/support,I,documentation/support,medium,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4490,"Portrayal of leading lights, S-52",2025-04-16,1.3,bug,not established/cross-platform,charts/rendering,defect,C,serious functional defect,low,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4432,Route point next tide event has incorrect time,2025-04-01,1.4,bug|done,Windows,routes/UI,defect,J,likely resolved/stale/duplicate,proven resolved,deterministic,fixed by PR #4434; close after verification,PR #4434,gui/src/route_prop_dlg.cpp,Issue carries done label and linked fix.,thread and code reviewed
4422,RFE: Tide dialog for route point ETA.,2025-03-30,1.4,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4415,RFE: New plugin API for Sun Position and Day/Night State,2025-03-22,1.4,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4408,RFE Grib_pi Ability to download OFS,2025-03-19,1.4,enhancement,not established/cross-platform,charts/rendering,feature/enhancement,H,feature request,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4395,S-100 Support,2025-03-11,1.4,enhancement,not established/cross-platform,UI/general,feature/enhancement,H,feature request,medium,not established,not code-verified,,gui/src (issue-specific),Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4387,"Navigation Safety: Coastlines, Depth Contours, Markers and Hazards",2025-03-01,1.5,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4377,AIS: don't trigger CPA alerts while anchored/stopped.,2025-02-20,1.5,enhancement,not established/cross-platform,AIS,feature/enhancement,H,feature request,medium,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4362,Constructor ocpnDC can fail if initializer DC does not contain valid bitmap,2025-02-09,1.5,,not established/cross-platform,charts/rendering,defect,C,serious functional defect,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4358,RFE: Anchor remote alarm via phone,2025-02-07,1.5,enhancement,not established/cross-platform,communications/navigation,feature/enhancement,H,feature request,low,not established,not code-verified,,model/src/comm_*; model/src/georef.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4357,OCPN 5.10.2 MacOS crash on zooming in on chart,2025-02-07,1.5,bug,macOS,charts/rendering,defect,J,likely resolved/stale/duplicate,low,old macOS 5.10.2,likely stale; revalidate current release,,gui/src/gl_chart_canvas.cpp,Old zoom crash without a current symbolized reproduction.,manual issue review
4348,RFE API for SHAPELIB,2025-01-28,1.6,enhancement,not established/cross-platform,charts/rendering,feature/enhancement,H,feature request,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4339,"RFE PluginManager access to ""tarball cache"" button",2025-01-25,1.6,enhancement,not established/cross-platform,plugins,feature/enhancement,H,feature request,medium,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4331,Measurement Tool only provides metric units for small distances,2025-01-22,1.6,enhancement,not established/cross-platform,UI/general,feature/enhancement,H,feature request,medium,not established,not code-verified,,gui/src (issue-specific),Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4326,UI guidelines with Gnome HIG,2025-01-21,1.6,enhancement,not established/cross-platform,UI/general,feature/enhancement,H,feature request,medium,not established,not code-verified,,gui/src (issue-specific),Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4322,RFE: Routes add distance tabulation,2025-01-18,1.6,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,low,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4313,"RFE Create Route and Route ""line thickness"" - DPI Scaling",2025-01-15,1.6,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,low,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4306,RFE Screen scaling for Windows 125-250-300% etc,2025-01-13,1.6,enhancement,macOS|Windows|Linux,plugins,feature/enhancement,H,feature request,medium,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4305,"RFE Planning and Presentation of Charts - Ability to set User Standard to ""Presentation""",2025-01-13,1.6,enhancement,not established/cross-platform,charts/rendering,feature/enhancement,H,feature request,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4303,RFE Planning and Presentation Charts - Intermediate adjustment of scale,2025-01-13,1.6,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,low,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4302,RFE Planning and Presentation Charts -Button to turn off display of all waypoint icons.,2025-01-13,1.6,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,low,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4293,Incorrect tide event time (after summer time).,2025-01-05,1.6,bug,Windows,routes/tracks/storage,defect,C,serious functional defect,low,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4273,[Android] Import Plugin Tarball issue,2024-12-20,1.7,enhancement,Android|Windows,plugins,feature/enhancement,H,feature request,low,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4261,RFE Chart Database Rebuild Enhancement and speed up,2024-12-13,1.7,enhancement,not established/cross-platform,charts/rendering,feature/enhancement,H,feature request,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4257,"When I tried to compile Android, it failed to compile",2024-12-11,1.7,,Android,charts/rendering,defect,C,serious functional defect,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4241,Show tides and currents slows up zooming unreasonably much even on pi5,2024-12-04,1.7,enhancement,not established/cross-platform,charts/rendering,feature/enhancement,H,feature request,low,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4228,Support loading multiple grib files with weather data,2024-11-27,1.7,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4226,5.10.2 Touch screen only working with flatpak and X11,2024-11-25,1.7,bug,Windows|Wayland|Flatpak,charts/rendering,defect,C,serious functional defect,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4212,Grib plugin - symbol sizing on Retina displays (OpenGL),2024-11-14,1.8,bug|macOS,not established/cross-platform,plugins,defect,C,serious functional defect,medium,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4174,Chart Group 0 (all charts) excludes MBTiles in other Chart Groups,2024-10-24,1.8,bug,Windows,charts/rendering,defect,C,serious functional defect,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4170,macOS 15.x (Sequoia) - higher hurdles to install OpenCPN,2024-10-18,1.8,enhancement|macOS,macOS,platform/build,feature/enhancement,H,feature request,medium,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4163,Merging tracks doesn't remove old tracks until restart of OpenCPN,2024-10-07,1.9,bug,Windows,routes/tracks/storage,defect,E,performance/resource,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4158,Tracks rendered over AIS targets,2024-10-01,1.9,bug,not established/cross-platform,AIS,defect,C,serious functional defect,medium,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4144,"Viewport incorrectly displays land coverage when panning South Pacific with OpenGL disabled""",2024-09-14,1.9,bug,macOS,charts/rendering,defect,E,performance/resource,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4138,SetCanvasTilt plugin API does nothing,2024-09-10,1.9,bug,not established/cross-platform,charts/rendering,defect,C,serious functional defect,low,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4134,AutoAnchorDrop should not delete other anchoring waypoints,2024-09-07,1.9,bug,not established/cross-platform,routes/tracks/storage,defect,C,serious functional defect,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4132,OpenCPN needs to support (generate) PGN's 129283 & 129284 when route is activated.,2024-09-06,1.9,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
